leaid,lea_name,enrollment,urban_centric_locale,urm_pct,frl_pct,3rd_ela,6th_math,grad_comp
1803940,Greater Clark County Schools,10320,Suburb large,0.424806202,,,,
1803960,Greater Jasper Consolidated Schs,3235,Rural fringe,0.222256569,,,,
1803990,Greencastle Community School Corp,1842,Town distant,0.075461455,,,,
1804050,Greenfield-Central Com Schools,4421,Suburb large,0.103370278,,,,
1804080,Greensburg Community Schools,2178,Town distant,0.082644628,,,,
1804110,Greenwood Community Sch Corp,3968,Suburb large,0.26234879,,,,
1804140,Monroe-Gregg School District,1539,Rural fringe,0.070825211,,,,
1804170,Griffith Public Schools,2005,Suburb large,0.54713217,,,,
1804230,Hamilton Community Schools,359,Rural distant,0.066852368,,,,
1804260,Hamilton Heights School Corp,2302,Suburb large,0.070807993,,,,
1804320,School City of Hammond,11957,Suburb large,0.892615204,,,,
1804350,Hanover Community School Corp,2615,Suburb large,0.248948375,,,,
1804470,Western School Corporation,2570,Rural fringe,0.142801556,,,,
1804500,Wes-Del Community Schools,893,Rural fringe,0.075027996,,,,
1804560,School Town of Highland,3072,Suburb large,0.487304688,,,,
1804590,School City of Hobart,4039,Suburb large,0.386729388,,,,
1804620,River Forest Community Sch Corp,1583,Suburb large,0.632975363,,,,
1804710,Huntington Co Com Sch Corp,4996,Town distant,0.085868695,,,,
1804770,Indianapolis Public Schools,22115,City large,0.789011983,,,,
1804800,Jac-Cen-Del Community Sch Corp,773,Rural distant,0.034928849,,,,
1804980,Jay School Corporation,2984,Rural fringe,0.100871314,,,,
1805190,Jennings County School Corporation,4023,Rural fringe,0.107631121,,,,
1805280,Kankakee Valley School Corp,3252,Rural distant,0.147293973,,,,
1805340,Knox Community School Corp,1751,Town distant,0.075385494,,,,
1805370,Kokomo School Corporation,5301,City small,0.422561781,,,,
1805400,Lafayette School Corporation,7430,City small,0.568371467,,,,
1805450,Lake Central School Corporation,9418,Suburb large,0.35485241,,,,
1805460,Lake Ridge New Tech Schools,1559,Suburb large,0.657472739,,,,
1805520,Lakeland School Corporation,1682,Town distant,0.274673008,,,,
1805550,Wawasee Community School Corp,2925,Rural fringe,0.144273504,,,,
1805580,LaPorte Community School Corp,6323,City small,0.24956508,,,,
1805670,MSD Lawrence Township,16247,Suburb large,0.810734289,,,,
1805700,Lawrenceburg Community School Corp,2099,Town fringe,0.113387327,,,,
1805790,Lebanon Community School Corp,3351,Town fringe,0.157266488,,,,
1805880,Liberty-Perry Community Sch Corp,1189,Rural fringe,0.077375946,,,,
1805910,Linton-Stockton School Corporation,1378,Town distant,0.047895501,,,,
1806030,Logansport Community Sch Corp,4331,Town distant,0.565689217,,,,
1806060,Loogootee Community Sch Corp,733,Rural fringe,0.053206003,,,,
1806080,MSD Warren County,1363,Rural distant,0.058694057,,,,
1806090,Maconaquah School Corp,1961,Rural fringe,0.175420704,,,,
1806120,Madison Consolidated Schools,2704,Town distant,0.108727811,,,,
1806240,Madison-Grant United School Corp,1262,Rural fringe,0.122820919,,,,
1806270,Manchester Community Schools,1456,Rural fringe,0.116758242,,,,
1806390,Marion Community Schools,3753,Town distant,0.521449507,,,,
1806480,Sheridan Community Schools,1052,Town fringe,0.085551331,,,,
1806510,MSD Martinsville Schools,4086,Town fringe,0.061429271,,,,
1806570,Michigan City Area Schools,5314,City small,0.583176515,,,,
1806600,Middlebury Community Schools,4299,Rural fringe,0.157943708,,,,
1806630,Milan Community Schools,970,Rural distant,0.030927835,,,,
1806660,Mill Creek Community Sch Corp,1569,Rural distant,0.070745698,,,,
1806840,School City of Mishawaka,5274,City small,0.341865757,,,,
1806870,Mississinewa Community School Corp,2490,Town distant,0.180321285,,,,
1806900,Mitchell Community Schools,1490,Town distant,0.06442953,,,,
1807020,Cowan Community School Corp,814,Rural fringe,0.097051597,,,,
1807080,Monroe Central School Corp,1105,Rural fringe,0.066968326,,,,
1807110,Eastern Pulaski Community Sch Corp,1177,Town distant,0.088360238,,,,
1807140,Mooresville Con School Corp,4340,Suburb large,0.082949309,,,,
1807230,Yorktown Community Schools,2686,Suburb small,0.16344006,,,,
1807260,Mt Vernon Community School Corp,4526,Rural fringe,0.22691118,,,,
1807290,MSD Mount Vernon,2064,Town fringe,0.100775194,,,,
1807320,Muncie Community Schools,5141,City small,0.426570706,,,,
1807350,School Town of Munster,4148,Suburb large,0.489392478,,,,
1807380,Nettle Creek School Corporation,1110,Rural distant,0.059459459,,,,
1807410,New Albany-Floyd Co Con Sch,11570,Suburb large,0.23673293,,,,
1807440,New Castle Community School Corp,2886,Town distant,0.131323631,,,,
1807470,MSD of New Durham Township,873,Town fringe,0.132875143,,,,
1807560,New Prairie United School Corp,2869,Rural fringe,0.132101778,,,,
1807620,Nineveh-Hensley-Jackson United,2028,Rural distant,0.050788955,,,,
1807650,Noblesville Schools,10643,Suburb large,0.192520906,,,,
1807680,North Adams Community Schools,1628,Town distant,0.181203931,,,,
1807710,North Daviess Com Schools,1099,Rural remote,0.070063694,,,,
1807770,North Gibson School Corporation,1921,Rural fringe,0.180114524,,,,
1807800,North Judson-San Pierre Sch Corp,914,Rural distant,0.076586433,,,,
1807830,North Knox School Corp,1224,Rural distant,0.071895425,,,,
1807860,North Lawrence Com Schools,3886,Rural fringe,0.077972208,,,,
1807890,North Miami Community Schools,858,Rural distant,0.090909091,,,,
1807900,North Montgomery Com Sch Corp,1875,Rural distant,0.104533333,,,,
1807920,North Newton School Corp,1169,Rural distant,0.153977759,,,,
1807950,MSD North Posey Co Schools,1483,Rural distant,0.064733648,,,,
1807980,North Putnam Community Schools,1360,Rural distant,0.039705882,,,,
1808010,North Spencer County Sch Corp,2081,Rural distant,0.102354637,,,,
1808040,Tri-Central Community Schools,761,Rural fringe,0.122207622,,,,
1808070,North Vermillion Com Sch Corp,694,Rural distant,0.057636888,,,,
1808100,North West Hendricks Schools,1955,Rural fringe,0.091048593,,,,
1808120,Northeast Dubois Co Sch Corp,876,Rural distant,0.043378995,,,,
1808130,North White School Corp,909,Rural distant,0.515951595,,,,
1808160,Northeast School Corp,786,Rural distant,0.031806616,,,,
1808190,Northeastern Wayne Schools,1317,Rural distant,0.070615034,,,,
1808220,Northern Wells Community Schools,2467,Rural distant,0.097689501,,,,
1808250,Northwest Allen County Schools,7955,Rural fringe,0.190571967,,,,
1808280,Shenandoah School Corporation,1351,Rural distant,0.053293856,,,,
1808310,Northwestern Con School Corp,1462,Rural fringe,0.078659371,,,,
1808340,Oak Hill United School Corp,1642,Rural distant,0.113276492,,,,
1808460,Oregon-Davis School Corp,478,Rural distant,0.069037657,,,,
1808490,Orleans Community Schools,887,Rural distant,0.033821871,,,,
1808640,Paoli Community School Corp,1287,Town distant,0.066822067,,,,
