leaid,lea_name,enrollment,urban_centric_locale,urm_pct,frl_pct,3rd_ela,6th_math,grad_comp
1808760,Penn-Harris-Madison School Corp,11513,Suburb large,0.284982194,0.2253,0.883,0.419,0.964
1808820,Perry Township Schools,16603,City large,0.623200626,,,,
1808850,Peru Community Schools,1982,Town distant,0.153884965,,,,
1808900,Pike County School Corp,1618,Rural distant,0.048207664,,,,
1808910,MSD Pike Township,10928,City large,0.929538799,,,,
1808940,Pioneer Regional School Corp,979,Rural distant,0.098059244,,,,
1808970,Plainfield Community School Corp,5766,Suburb large,0.204994797,,,,
1809000,East Porter County School Corp,2441,Rural fringe,0.123719787,,,,
1809060,Plymouth Community School Corp,3359,Town distant,0.332241739,,,,
1809120,John Glenn School Corporation,2003,Rural fringe,0.098851722,,,,
1809150,Portage Township Schools,6963,Suburb large,0.479391067,,,,
1809180,Porter Township School Corp,1494,Rural fringe,0.192771084,,,,
1809300,Prairie Heights Community Sch Corp,1356,Rural distant,0.076696165,,,,
1809360,West Central School Corp,636,Rural remote,0.122641509,,,,
1809420,Rensselaer Central School Corp,1539,Town distant,0.171539961,,,,
1809480,Richland-Bean Blossom C S C,2705,Suburb midsize,0.097597043,,,,
1809510,Richmond Community Schools,4638,Town distant,0.362871928,,,,
1809600,Rising Sun-Ohio Co Com,857,Rural distant,0.036172695,,,,
1809630,Rochester Community School Corp,1692,Town distant,0.095153664,,,,
1809690,Merrillville Community School Corp,6055,Suburb large,0.89314616,,,,
1809720,Rossville Con School District,945,Rural distant,0.071957672,,,,
1809750,Rush County Schools,1913,Town distant,0.071615264,,,,
1809810,Salem Community Schools,1745,Town distant,0.060744986,,,,
1809840,Daleville Community Schools,984,Suburb small,0.071138211,,,,
1809990,Scott County School District 1,1246,Town distant,0.069020867,,,,
1810020,Scott County School District 2,2610,Town distant,0.062068966,,,,
1810080,Seymour Community Schools,5281,Town distant,0.448210566,,,,
1810110,MSD Shakamak Schools,673,Rural distant,0.047548291,,,,
1810140,Shelbyville Central Schools,4052,Town distant,0.245557749,,,,
1810170,Shoals Community School Corp,689,Rural distant,0.040638607,,,,
1810230,Smith-Green Community Schools,1191,Rural distant,0.068849706,,,,
1810260,South Adams Schools,1250,Town distant,0.1496,,,,
1810290,South Bend Community School Corp,15964,City midsize,0.72738662,,,,
1810350,South Gibson School Corporation,2069,Rural distant,0.062832286,,,,
1810360,South Harrison Com Schools,3071,Town fringe,0.106154347,,,,
1810380,South Henry School Corp,707,Rural distant,0.059405941,,,,
1810410,South Knox School Corp,1236,Rural distant,0.034789644,,,,
1810440,South Madison Com Sch Corp,4481,Suburb small,0.114929703,,,,
1810450,South Montgomery Com Sch Corp,1625,Rural distant,0.078153846,,,,
1810470,South Newton School Corp,844,Rural remote,0.180094787,,,,
1810500,South Putnam Community Schools,1060,Rural distant,0.062264151,,,,
1810530,South Ripley Com Sch Corp,1095,Rural distant,0.050228311,,,,
1810560,South Spencer County Sch Corp,1111,Rural distant,0.066606661,,,,
1810590,South Vermillion Com Sch Corp,1615,Rural fringe,0.043962848,,,,
1810620,Southeast Fountain School Corp,988,Rural distant,0.097165992,,,,
1810640,Southeast Dubois Co Sch Corp,1276,Rural distant,0.064263323,,,,
1810650,Hamilton Southeastern Schools,21603,Suburb large,0.311160487,,,,
1810680,Lewis Cass Schools,1393,Rural distant,0.139267767,,,,
1810710,Southern Hancock Co Com Sch Corp,3756,Rural fringe,0.086794462,,,,
1810740,Randolph Southern School Corp,518,Rural distant,0.092664093,,,,
1810770,Southern Wells Com Schools,845,Rural distant,0.049704142,,,,
1810800,Southwestern-Jefferson Co Con,1303,Rural fringe,0.101304682,,,,
1810830,Southwestern Con Sch Shelby Co,596,Rural distant,0.062080537,,,,
1810860,Southwest School Corporation,1650,Rural fringe,0.049090909,,,,
1810870,Southwest Dubois Co Sch Corp,1898,Rural fringe,0.362486828,,,,
1810900,Southwest Parke Com Sch Corp,1040,Rural distant,0.070192308,,,,
1810920,School Town of Speedway,1863,Suburb large,0.611379495,,,,
1810950,Spencer-Owen Community Schools,2202,Rural distant,0.054950045,,,,
1810980,Springs Valley Com School Corp,835,Rural distant,0.118562874,,,,
1811100,MSD Steuben County,2581,Rural fringe,0.163115072,,,,
1811190,Sunman-Dearborn Com Sch Corp,3770,Rural distant,0.049602122,,,,
1811220,Switzerland County School Corp,1494,Rural distant,0.057563588,,,,
1811250,Taylor Community School Corp,1302,Rural fringe,0.341013825,,,,
1811260,Tell City-Troy Twp School Corp,1416,Rural fringe,0.086158192,,,,
1811340,Tippecanoe School Corp,13591,Suburb midsize,0.296004709,,,,
1811370,Tippecanoe Valley School Corp,1805,Rural distant,0.188365651,,,,
